State,Program Name,Program type,Statewide or region-specific?,Federal operating authority,Program start date ,Waiver expiration date (if applicable),"If the program ended in 2014, indicate the end date",Populations enrolled,Low-income Adults not eligible under ACA Section VIII,"Aged, Blind or Disabled Children or Adults",Non-Disabled Children (excluding children in foster care or receiving adoption assistance),Individuals receiving Limited Benefits,Low-income adults eligible under ACA Section VIII,Full Duals,Partial Duals,Children with Special Health Care Needs,Native American/Alaskan Natives,Foster Care and Adoption Assistance Children,Enrollment choice period,Enrollment broker name (if applicable),Notes on enrollment choice period,Benefits covered,Inpatient hospital physical health,Inpatient hospital behavioral health (MH and/or SUD),Outpatient hospital physical health,Outpatient hospital behavioral health (MH and/or SUD),Partial hospitalization,Physician,Nurse practitioner,Rural health clinics and FQHCs,Clinic services,Lab and x-ray,Prescription drugs and prosthetic devices,EPSDT,Case management,Health home (SSA 1945),Family planning,Dental services (medical/surgical),Dental (preventative or corrective),Home health agency services,Personal care (state plan option),HCBS waiver services,Private duty nursing,ICF-IDD,Nursing facility services,Hospice care,Non-Emergency Medical Transportation,"Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement,HEDIS data required?,CAHPS data required?,Accreditation required?,Accrediting organization,EQRO contractor name (if applicable),Performance incentives?,Payment bonuses/differentials to reward plans,Preferential auto-enrollment to reward plans,Public reports comparing MCO performance on key metrics,Withholds tied to performance metrics,MCOs/PHPs required/encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,Provider Value-Based Purchasing,State pays provider-based entities (such as ACOs or PCMHs) directly for value/quality outcomes using shared-risk or shared-savings methods,Participating plans and regions served,Plans in Program,Notes,Program notes,Year,Location
Iowa,NEMT,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,01/01/2009,,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,TMS,,,2016,"Iowa
(42.074659, -93.500061)"
Maine,MaineCare,Primary Care Case Management (PCCM),Statewide,1932(a),05/01/1999,,,,,Mandatory,Mandatory,,,,,,Mandatory,Mandatory,,,,,,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,Yes,Yes,No,,,,X,,,,,,,,Multiple Primary Care Providers,,,2016,"Maine
(45.117911, -69.06137)"
Utah,Transportation,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,07/01/2001,,,,,Mandatory,Mandatory,,,Mandatory,Mandatory,,Mandatory,Mandatory,,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,Logisticare Solutions,,"Specific Native American populations are exempted by race, zip code, and/or county code.",2016,"Utah
(39.323779, -111.678222)"
Florida,Program of All-Inclusive Care for the Elderly,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,01/01/2003,,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,,X,,,X,X,X,.All other FL Medicaid covered services and other services as determined by the multidisciplinary team.,,No,No,No,,,,,,,,,,,,"Florida Pace Center; Hope Select care; Morselife Home Care, Inc.; Suncoast Neighborly Care, Inc.",,,2016,"Florida
(28.260731, -82.420978)"
Rhode Island,RIte Care,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),08/01/1994,12/31/2018,,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,X,,,X,,,,Yes,Yes,Yes,NCQA,IPRO,,X,,X,,,,,,Neighborhood Health Plan of RI; United Healthcare,,,2016,"Rhode Island
(41.572574, -71.534637)"
Illinois,Family Health Plan/Affordable Care Act (FHP/ACA),Comprehensive MCO + MLTSS,"Winnebago, Boone, McHenry, Lake, Cook, DuPage, Kane, Will, Kankakee, DeKalb, Lee, Livingston, Woodford, Ford, Vermilion, Champaign, Piatt, DeWitt, McLean, Macon, Logan, Christian, Sangamon, Menard, Scott, Pike, Brown, Adams, Warren, Henderson, Tazewell, Peoria, Stark, Knox, Henry, Rock Island, Mercer, Madison, Clinton, St. Clair, Washington, Randolph, Perry, Jackson and Williamson counties",1932(a)/1915(c),07/01/2014,09/30/2019,,,Mandatory,,Mandatory,,,,,Mandatory,,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,X,X,"Ambulatory, surgical treatment center, assistive/augmentative communication devices, audiology, blood and blood components, chiropractic, vision, podiatry, physical/occupational and speech therapy, renal, behavioral, assisted living, specialized medical equipment and supplies, environmental accessibility",,Yes,Yes,Yes,NCQA,Health Services Advisory Group,,,,X,X,X,,,,Aetna Better Health; Blue Cross Blue Shield of Illinois; CountyCare; Family Health Network; Harmony Health Plan; Health Alliance Connect; IlliniCare Health Plan; Meridian Health Plan; Molina Healthcare of Illinois; NextLevel Health Partners,,Low-income pregnant women are enrolled mandatorily in this program. Dual eligibles are not allowed to enroll in the FHP/ACA program. Health Alliance Connect ended service to the program (and all its Illinois Medicaid products) effective 12/31/2016.,2016,"Illinois
(40.124144, -89.148632)"
Pennsylvania,MATP (Medical Assistance Transportation Program),Non-Emergency Medical Transportation,Philadelphia,1902(a)(70) NEMT,11/01/2005,,,,Voluntary,Voluntary,Voluntary,Voluntary,,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,Logisticare,,Beneficiaries who require access to NEMT services contact the NEMT program at the point they are seeking services.,2016,"Pennsylvania
(40.896694, -77.838886)"
North Dakota,PCCM,Primary Care Case Management (PCCM),Statewide,1932(a),11/01/1994,,,,,,Mandatory,Mandatory,,,,,,Mandatory,Mandatory,,,,,,X,,,X,X,X,X,,,,X,,,,,,,,,,,,,,,No,No,No,North Dakota,,,,,,,,,,,Multiple Primary Care Providers,,,2016,"North Dakota
(47.446305, -100.46931)"
California,Dental managed Care-Sacramento,Dental only (PAHP),Sacramento,1115(a) (Medicaid demonstration waivers),12/01/1998,12/31/2020,.,.,Mandatory,.,Mandatory,.,Mandatory,Mandatory,.,.,Mandatory,Voluntary,60 days,Health Care Operation/Maximus,.,.,.,.,.,.,.,.,.,X,.,.,.,X,X,.,.,X,X,.,.,.,.,.,.,.,X,.,.,Yes,Yes,No,.,.,,X,.,X,X,.,.,.,.,Access Dental Plan-Sacramento ( Plan 421); Liberty Dental Plan of CA/Sacramento (Plan 425); Health Net of CA-Dental-Sacramento (Plan 427),.,.,2014,"California
(37.211164, -119.662127)"
Massachusetts,MassHealth BH/SUD PIHP,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1115(a) (Medicaid demonstration waivers),07/01/1997,06/30/2022,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,,Mandatory,,,,X,,X,X,,,,X,,,,X,,,,,,,,,,,,,"Children’s Behavioral Health Initiative (CBHI) services, Emergency Services Program, and Diversionary Services:  Community Crisis Stabilization, Community-Based Acute Treatment for Children and Adolescents (CBAT), Acute Treatment Services (ATS) for Substance Use Disorders (Level III-7), Clinical Support Services (CSS) for Substance Use Disorders (Level III.5), and Transitional Care Unit (TCU).  Community Support Program (CSP), Partial Hospitalization, Psychiatric Day Treatment, Structure Outpatient Addiction Program (SOAP), Program of Assertive Community Treatment, and Intensive Outpatient Treatment",,Yes,No,Yes,NCQA,KEPRO,,X,,,,,,,,Massachusetts Behavioral Health Partnership,,Full duals are only enrolled mandatorily if less than 21 years of age.,2016,"Massachusetts
(42.151077, -71.481104)"
