State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
VT,Vermont,9/1/2020,Y,P,Y,1534,,1049,,2583,Includes Renewals and/or Redeterminations,2022,Includes Renewals and/or Redeterminations,56,,2078,,63126,,166422,,31.106,-97.6475,"(31.106, -97.6475)",162138,,4284,
VT,Vermont,8/1/2020,Y,U,Y,1630,,1357,,2987,Includes Renewals and/or Redeterminations,2864,Includes Renewals and/or Redeterminations,69,,2933,,63000,,165203,,31.106,-97.6475,"(31.106, -97.6475)",160907,,4296,
VT,Vermont,8/1/2020,Y,P,N,1630,,1357,,2987,Includes Renewals and/or Redeterminations,2520,Includes Renewals and/or Redeterminations,56,,2576,,62868,,164940,,31.106,-97.6475,"(31.106, -97.6475)",160665,,4275,
VT,Vermont,7/1/2020,Y,P,N,1463,,1109,,2572,Includes Renewals and/or Redeterminations,1818,Includes Renewals and/or Redeterminations,34,,1852,,62375,,162600,,31.106,-97.6475,"(31.106, -97.6475)",158338,,4262,
VT,Vermont,7/1/2020,Y,U,Y,1463,,1109,,2572,Includes Renewals and/or Redeterminations,2347,Includes Renewals and/or Redeterminations,56,,2403,,62580,,163055,,31.106,-97.6475,"(31.106, -97.6475)",158771,,4284,
VT,Vermont,6/1/2020,Y,P,N,1286,,1069,,2355,Includes Renewals and/or Redeterminations,2244,Includes Renewals and/or Redeterminations,90,,2334,,62191,,161049,,31.106,-97.6475,"(31.106, -97.6475)",156768,,4281,
VT,Vermont,6/1/2020,Y,U,Y,1286,,1240,,2526,Includes Renewals and/or Redeterminations,2594,Includes Renewals and/or Redeterminations,99,,2693,,62324,,161336,,31.106,-97.6475,"(31.106, -97.6475)",157046,,4290,
VT,Vermont,5/1/2020,Y,U,Y,1068,,1069,,2137,Includes Renewals and/or Redeterminations,2570,Includes Renewals and/or Redeterminations,50,,2620,,61953,,159344,,31.106,-97.6475,"(31.106, -97.6475)",155092,,4252,
VT,Vermont,5/1/2020,Y,P,N,1068,,1069,,2137,Includes Renewals and/or Redeterminations,2334,Includes Renewals and/or Redeterminations,36,,2370,,61851,,159103,,31.106,-97.6475,"(31.106, -97.6475)",154869,,4234,
VT,Vermont,4/1/2020,Y,P,N,1871,,1376,,3247,Includes Renewals and/or Redeterminations,4622,Includes Renewals and/or Redeterminations,111,,4733,,61564,,157055,,31.106,-97.6475,"(31.106, -97.6475)",152475,,4580,
VT,Vermont,4/1/2020,Y,U,Y,1871,,1376,,3247,Includes Renewals and/or Redeterminations,6485,Includes Renewals and/or Redeterminations,142,,6627,,61747,,157550,,31.106,-97.6475,"(31.106, -97.6475)",152975,,4575,
VT,Vermont,3/1/2020,Y,P,N,2755,,2656,,5411,Includes Renewals and/or Redeterminations,4460,Includes Renewals and/or Redeterminations,137,,4597,,60930,,152616,,31.106,-97.6475,"(31.106, -97.6475)",147956,,4660,
VT,Vermont,3/1/2020,Y,U,Y,2755,,2656,,5411,Includes Renewals and/or Redeterminations,5528,Includes Renewals and/or Redeterminations,209,,5737,,61313,,153778,,31.106,-97.6475,"(31.106, -97.6475)",149066,,4712,
VT,Vermont,2/1/2020,Y,P,N,2636,,2258,,4894,Includes Renewals and/or Redeterminations,2831,Includes Renewals and/or Redeterminations,63,,2894,,60194,,149175,,31.106,-97.6475,"(31.106, -97.6475)",144595,,4580,
VT,Vermont,2/1/2020,Y,U,Y,2636,,2258,,4894,Includes Renewals and/or Redeterminations,4522,Includes Renewals and/or Redeterminations,149,,4671,,60890,,151167,,31.106,-97.6475,"(31.106, -97.6475)",146490,,4677,
VT,Vermont,1/1/2020,Y,P,N,3162,,1624,,4786,Includes Renewals and/or Redeterminations,3630,Includes Renewals and/or Redeterminations,122,,3752,,60288,,149510,,31.106,-97.6475,"(31.106, -97.6475)",144871,,4639,
VT,Vermont,1/1/2020,Y,U,Y,3162,,1624,,4786,Includes Renewals and/or Redeterminations,5423,Includes Renewals and/or Redeterminations,221,,5644,,60856,,150895,,31.106,-97.6475,"(31.106, -97.6475)",146168,,4727,
VT,Vermont,12/1/2019,Y,U,Y,2648,,2481,,5129,Includes Renewals and/or Redeterminations,4896,Includes Renewals and/or Redeterminations,142,,5038,,61091,,151190,,31.106,-97.6475,"(31.106, -97.6475)",146536,,4654,
VT,Vermont,12/1/2019,Y,P,N,2648,,2481,,5129,Includes Renewals and/or Redeterminations,3450,Includes Renewals and/or Redeterminations,90,,3540,,60700,,150160,,31.106,-97.6475,"(31.106, -97.6475)",145556,,4604,
VT,Vermont,11/1/2019,Y,U,Y,2505,,2420,,4925,Includes Renewals and/or Redeterminations,4734,Includes Renewals and/or Redeterminations,129,,4863,,61014,,150952,,31.106,-97.6475,"(31.106, -97.6475)",146351,,4601,
VT,Vermont,11/1/2019,Y,P,N,2505,,2420,,4925,Includes Renewals and/or Redeterminations,3165,Includes Renewals and/or Redeterminations,69,,3234,,60478,,149642,,31.106,-97.6475,"(31.106, -97.6475)",145131,,4511,
