State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
AL,Alabama,9/1/2013,N,U,Y,,,,,,,,,,,,,,,799176,Data is from September 2013 only.,32.799,-86.8073,"(32.799, -86.8073)",,,,
CO,Colorado,6/1/2020,Y,U,Y,18724,,107,,18831,,13245,,224,,13469,,583152,,1344774,,36.17,-119.7462,"(36.17, -119.7462)",1266574,,78200,
DE,Delaware,2/1/2020,Y,P,N,3127,,N/A,,3127,,4378,,723,,5101,,104741,,229794,,38.8964,-77.0262,"(38.8964, -77.0262)",218056,,11738,
FL,Florida,9/1/2013,N,U,Y,,,,,,,,,,,,,,,3695306,,39.3498,-75.5148,"(39.3498, -75.5148)",,,,
GA,Georgia,9/1/2013,N,U,Y,,,,,,,,,,,,,,,1535090,,27.8333,-81.717,"(27.8333, -81.717)",,,,
IA,Iowa,8/1/2019,Y,U,Y,15833,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,15833,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1012,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1012,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,339329,,678991,,21.1098,-157.5311,"(21.1098, -157.5311)",603062,,75929,
ID,Idaho,9/1/2013,Y,U,Y,,,,,,,,,,,,,,,238150,,42.0046,-93.214,"(42.0046, -93.214)",,,,
MA,Massachusetts,9/1/2013,Y,U,Y,,,,,,,,,,,,,,,1296359,,31.1801,-91.8749,"(31.1801, -91.8749)",,,,
NH,New Hampshire,8/1/2019,Y,P,N,8283,,N/A,,8283,,5276,,587,,5863,,87952,,175840,,47.5362,-99.793,"(47.5362, -99.793)",161181,,14659,
NY,New York,7/1/2018,Y,U,Y,,,722351,,722351,,109003,,7199,,116202,,2463467,,6152207,,34.8375,-106.2371,"(34.8375, -106.2371)",5597943,,554264,
NY,New York,10/1/2019,Y,P,N,,,854600,,854600,,109785,,7082,,116867,,2407742,Includes Retroactive Enrollments,6047203,Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5449260,Includes Retroactive Enrollments,597943,
OK,Oklahoma,5/1/2018,N,U,Y,43035,,N/A,,43035,,40177,,7933,,48110,,514535,,735895,,42.1497,-74.9384,"(42.1497, -74.9384)",616826,,119069,
OR,Oregon,9/1/2013,Y,U,Y,,,,,,,,,,,,,,,626356,Includes emergency Medicaid population.,40.3736,-82.7755,"(40.3736, -82.7755)",,,,
PA,Pennsylvania,9/1/2013,Y,U,Y,,,,,,,,,,,,,,,2386046,,35.5376,-96.9247,"(35.5376, -96.9247)",,,,
RI,Rhode Island,9/1/2013,Y,U,Y,,,,,,,,,,,,,,,190833,,44.5672,-122.1269,"(44.5672, -122.1269)",,,,
SC,South Carolina,9/1/2013,N,U,Y,,,,,,,,,,,,,,,889744,,40.5773,-77.264,"(40.5773, -77.264)",,,,
SD,South Dakota,9/1/2013,N,U,Y,,,,,,,,,,,,,,,115501,,18.2766,-66.335,"(18.2766, -66.335)",,,,
TX,Texas,9/1/2013,N,U,Y,,,,,,,,,,,,,,,4203449,,33.8191,-80.9066,"(33.8191, -80.9066)",,,,
VA,Virginia,9/1/2013,Y,U,Y,,,,,,,,,,,,,,,935434,,35.7449,-86.7489,"(35.7449, -86.7489)",,,,
VT,Vermont,9/1/2020,Y,P,Y,1534,,1049,,2583,Includes Renewals and/or Redeterminations,2022,Includes Renewals and/or Redeterminations,56,,2078,,63126,,166422,,31.106,-97.6475,"(31.106, -97.6475)",162138,,4284,
WI,Wisconsin,9/1/2013,N,U,Y,,,,,,,,,,,,,,,985531,Does not include retroactive enrollment.,37.768,-78.2057,"(37.768, -78.2057)",,,,
WV,West Virginia,9/1/2013,Y,U,Y,,,,,,,,,,,,,,,354544,,18.0001,-64.8199,"(18.0001, -64.8199)",,,,
WY,Wyoming,9/1/2013,N,U,Y,,,,,,,,,,,,,,,67518,,44.0407,-72.7093,"(44.0407, -72.7093)",,,,
ND,North Dakota,9/1/2013,Y,U,Y,,,,,,,,,,,,,,,69980,Data is from July 2013 only.,46.9048,-110.3261,"(46.9048, -110.3261)",,,,
DE,Delaware,3/1/2019,Y,U,Y,2847,,N/A,,2847,,4763,,754,,5517,,106193,,232358,,38.8964,-77.0262,"(38.8964, -77.0262)",220871,,11487,
HI,Hawaii,12/1/2019,Y,U,Y,4719,,N/A,,4719,,6107,,530,,6637,,139123,,326337,,32.9866,-83.6487,"(32.9866, -83.6487)",300760,,25577,
AK,Alaska,4/1/2020,Y,P,N,3041,Includes Renewals and/or Redeterminations,N/A,,3041,Includes Renewals and/or Redeterminations,3439,Includes Renewals and/or Redeterminations; Includes CHIP,184,,3623,Includes Renewals and/or Redeterminations,98473,,226559,,61.385,-152.2683,"(61.385, -152.2683)",210484,,16075,
ND,North Dakota,6/1/2019,Y,P,N,1824,,N/A,,1824,,2046,,52,,2098,,42203,,90107,,46.9048,-110.3261,"(46.9048, -110.3261)",88010,,2097,
RI,Rhode Island,8/1/2018,Y,U,Y,2670,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2670,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",3529,,544,,4073,,123512,,312377,,44.5672,-122.1269,"(44.5672, -122.1269)",280763,,31614,
KY,Kentucky,6/1/2018,Y,P,N,,,9964,,9964,,,,,,,,559896,,1343781,,38.5111,-96.8005,"(38.5111, -96.8005)",1258756,,85025,
ME,Maine,12/1/2019,Y,U,Y,6375,,N/A,,6375,,9740,,638,,10378,,103397,,223129,,39.0724,-76.7902,"(39.0724, -76.7902)",211253,,11876,
ID,Idaho,5/1/2019,Y,U,Y,7417,,,,7417,,5369,,374,,5743,,195677,,273856,,42.0046,-93.214,"(42.0046, -93.214)",247939,,25917,
OK,Oklahoma,3/1/2020,N,U,Y,41733,Includes Renewals and/or Redeterminations,N/A,,41733,Includes Renewals and/or Redeterminations,45003,Includes Renewals and/or Redeterminations,8177,Includes Renewals and/or Redeterminations,53180,Includes Renewals and/or Redeterminations,515123,,734583,,42.1497,-74.9384,"(42.1497, -74.9384)",614063,,120520,
WY,Wyoming,2/1/2018,N,U,Y,1489,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1489,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1051,,28,,1079,,40837,,60905,,44.0407,-72.7093,"(44.0407, -72.7093)",56081,,4824,
MD,Maryland,1/1/2020,Y,P,N,7201,,91251,Includes Renewals and/or Redeterminations,98452,Includes Renewals and/or Redeterminations,42618,Includes Renewals and/or Redeterminations,7040,Includes Renewals and/or Redeterminations,49658,Includes Renewals and/or Redeterminations,614352,,1316794,,42.2373,-71.5314,"(42.2373, -71.5314)",1178077,,138717,
MA,Massachusetts,10/1/2019,Y,U,Y,18205,,2251,,20456,,13741,,972,,14713,,679394,,1579215,,31.1801,-91.8749,"(31.1801, -91.8749)",1389135,,190080,
NJ,New Jersey,12/1/2019,Y,U,Y,39094,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,39094,Does Not Include All Non-MAGI Applications,17383,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,5284,,22667,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,812183,,1706298,,41.1289,-98.2883,"(41.1289, -98.2883)",1476344,,229954,
GA,Georgia,11/1/2019,N,P,N,37939,,N/A,,37939,,19673,,661,,20334,,1240764,,1801767,,27.8333,-81.717,"(27.8333, -81.717)",1596947,,204820,
MO,Missouri,11/1/2018,N,U,Y,18967,,N/A,,18967,,8347,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",,,8347,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",583526,,916981,,45.7326,-93.9196,"(45.7326, -93.9196)",885033,,31948,Does Not Include All CHIP enrollees
KY,Kentucky,1/1/2019,Y,U,Y,9908,,,,9908,,21906,,2118,,24024,,554209,,1314498,,38.5111,-96.8005,"(38.5111, -96.8005)",1221140,,93358,
MI,Michigan,11/1/2018,Y,P,N,49290,,N/A,,49290,,45771,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1770,,47541,,938189,Does Not Include All Full-Benefit Child Medicaid enrollees,2309439,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2250893,Does Not Include All Full-Benefit Medicaid enrollees,58546,
NC,North Carolina,11/1/2017,N,P,N,22383,,N/A,,22383,,33096,,3275,,36371,,1194378,,1787628,,32.7673,-89.6812,"(32.7673, -89.6812)",1553211,,234417,
LA,Louisiana,5/1/2019,Y,U,Y,30643,,N/A,,30643,,39910,,7894,,47804,,733868,,1539835,,37.669,-84.6514,"(37.669, -84.6514)",1404452,,135383,
DE,Delaware,7/1/2018,Y,U,Y,2900,,N/A,,2900,,5079,,756,,5835,,105633,,231090,,38.8964,-77.0262,"(38.8964, -77.0262)",220003,,11087,
WY,Wyoming,7/1/2018,N,U,Y,1476,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1476,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,699,,24,,723,,39845,,59658,,44.0407,-72.7093,"(44.0407, -72.7093)",55089,,4569,
NY,New York,10/1/2017,Y,U,Y,,,822285,,822285,,121014,,10331,,131345,,2444385,,6087638,,34.8375,-106.2371,"(34.8375, -106.2371)",5566298,,521340,
ID,Idaho,11/1/2018,Y,U,Y,13135,,,,13135,,6109,,503,,6612,,201899,,280331,,42.0046,-93.214,"(42.0046, -93.214)",256110,,24221,
MA,Massachusetts,6/1/2018,Y,U,Y,19020,,3340,,22360,,,,,,,,684726,,1633340,,31.1801,-91.8749,"(31.1801, -91.8749)",1452700,,180640,
CA,California,9/1/2019,Y,U,Y,155867,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,155867,,156911,Does Not Include All Medicaid Determinations Made At Application,12202,Does Not Include All CHIP Determinations Made At Application,169113,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4893256,,11728031,,33.7712,-111.3877,"(33.7712, -111.3877)",10419822,,1308209,
OH,Ohio,12/1/2019,Y,U,Y,65952,Includes Renewals and/or Redeterminations,N/A,,65952,Includes Renewals and/or Redeterminations,50724,Includes CHIP; Includes Renewals and/or Redeterminations,2976,,53700,Includes Renewals and/or Redeterminations,1158803,,2609614,,38.4199,-117.1219,"(38.4199, -117.1219)",2411873,,197741,
KY,Kentucky,5/1/2020,Y,U,Y,31146,,,,31146,,9332,,698,,10030,,564834,,1374471,,38.5111,-96.8005,"(38.5111, -96.8005)",1288837,,85634,
AL,Alabama,10/1/2019,N,U,Y,13367,,N/A,,13367,,13653,,1607,,15260,,664904,,928078,,32.799,-86.8073,"(32.799, -86.8073)",755371,,172707,
OR,Oregon,9/1/2019,Y,P,N,12383,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12383,Does Not Include All Non-MAGI Applications,21017,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2374,,23391,Does Not Include All Non-MAGI Determinations Made At Application,412855,,982201,,40.3736,-82.7755,"(40.3736, -82.7755)",854456,,127745,
MN,Minnesota,11/1/2019,Y,U,Y,5601,,27281,,32882,,17916,,,,17916,,528011,,1039954,,43.3504,-84.5603,"(43.3504, -84.5603)",1038648,,1306,
IN,Indiana,2/1/2019,Y,U,Y,87809,,N/A,,87809,,34391,,3156,,37547,,805512,,1464635,,40.3363,-89.0022,"(40.3363, -89.0022)",1350840,,113795,
IN,Indiana,3/1/2018,Y,U,Y,89212,,N/A,,89212,,37522,,3221,,40743,,807673,,1464453,,40.3363,-89.0022,"(40.3363, -89.0022)",1354843,,109610,
NE,Nebraska,2/1/2020,N,P,N,5531,,N/A,,5531,,5120,,863,,5983,,162904,,244412,,35.6411,-79.8431,"(35.6411, -79.8431)",209409,,35003,
NE,Nebraska,7/1/2020,N,U,Y,5836,,N/A,,5836,,3797,,674,,4471,,171691,,261168,,35.6411,-79.8431,"(35.6411, -79.8431)",226887,,34281,
RI,Rhode Island,12/1/2019,Y,U,Y,2065,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2065,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2333,,154,,2487,,116855,,292050,,44.5672,-122.1269,"(44.5672, -122.1269)",258860,,33190,
TX,Texas,5/1/2019,N,U,Y,141944,,N/A,,141944,,89889,,13154,,103043,,3288623,,4180837,,33.8191,-80.9066,"(33.8191, -80.9066)",3605294,,575543,
GA,Georgia,10/1/2017,N,U,Y,54894,,N/A,,54894,,36210,,1197,,37407,,1265189,,1805143,,27.8333,-81.717,"(27.8333, -81.717)",1618380,,186763,
NH,New Hampshire,9/1/2018,Y,P,N,7300,,N/A,,7300,,4385,,445,,4830,,89750,,181155,,47.5362,-99.793,"(47.5362, -99.793)",166778,,14377,
AL,Alabama,4/1/2018,N,P,N,18348,,N/A,,18348,,27178,,2438,,29616,,641014,,901886,,32.799,-86.8073,"(32.799, -86.8073)",726424,,175462,
NH,New Hampshire,6/1/2018,Y,U,Y,7724,,N/A,,7724,,4661,,472,,5133,,91532,,185529,,47.5362,-99.793,"(47.5362, -99.793)",171141,,14388,
RI,Rhode Island,1/1/2018,Y,U,Y,3594,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,3594,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",5213,,658,,5871,,123448,,313552,,44.5672,-122.1269,"(44.5672, -122.1269)",283708,,29844,
NC,North Carolina,6/1/2018,N,U,Y,22356,,N/A,,22356,,33512,,3491,,37003,,1190389,,1779044,,32.7673,-89.6812,"(32.7673, -89.6812)",1535632,,243412,
NC,North Carolina,5/1/2019,N,U,Y,21538,,N/A,,21538,,30746,,3144,,33890,,1180076,,1745341,,32.7673,-89.6812,"(32.7673, -89.6812)",1479350,,265991,
MA,Massachusetts,11/1/2017,Y,P,N,17493,,4358,,21851,,,,,,,,693227,,1630744,,31.1801,-91.8749,"(31.1801, -91.8749)",1449294,,181450,
MT,Montana,7/1/2018,Y,U,Y,3239,,N/A,,3239,,3217,,180,,3397,,129389,,280638,,14.8058,145.5505,"(14.8058, 145.5505)",255515,,25123,
ME,Maine,8/1/2018,Y,U,Y,5521,,N/A,,5521,,10925,,668,,11593,,109569,,228031,,39.0724,-76.7902,"(39.0724, -76.7902)",217804,,10227,
MT,Montana,4/1/2020,Y,P,N,3752,,N/A,,3752,,4979,,504,,5483,,115301,,252152,,14.8058,145.5505,"(14.8058, 145.5505)",225977,,26175,
WA,Washington,3/1/2019,Y,U,Y,68386,,72120,,140506,,99497,,1686,,101183,,832173,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1731946,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1659357,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),72589,
MN,Minnesota,7/1/2017,Y,U,Y,5702,,22013,,27715,,26556,,38,,26594,,523949,,1065061,,43.3504,-84.5603,"(43.3504, -84.5603)",1063615,,1446,
UT,Utah,4/1/2018,N,U,Y,19943,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,19943,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",38549,Includes CHIP,,,38549,,207151,,300717,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",254855,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,45862,
MS,Mississippi,5/1/2020,N,U,Y,14541,,N/A,,14541,,9181,,353,,9534,,426882,,629996,,38.4623,-92.302,"(38.4623, -92.302)",550187,,79809,
NE,Nebraska,10/1/2018,N,P,N,6603,,N/A,,6603,,7521,,987,,8508,,162193,,243745,,35.6411,-79.8431,"(35.6411, -79.8431)",210005,,33740,
WY,Wyoming,7/1/2020,N,P,N,1514,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1514,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,693,,22,,715,,40268,,60716,,44.0407,-72.7093,"(44.0407, -72.7093)",56270,,4446,
CT,Connecticut,12/1/2018,Y,U,Y,5167,Includes Duplicates,21435,Includes Duplicates; Includes Renewals and/or Redeterminations,26602,Includes Duplicates,16834,Includes Renewals and/or Redeterminations,683,Includes Renewals and/or Redeterminations,17517,Includes Renewals and/or Redeterminations,330253,,855943,,39.0646,-105.3272,"(39.0646, -105.3272)",836069,,19874,
WV,West Virginia,4/1/2018,Y,P,N,20659,,N/A,,20659,,11507,,597,,12104,,222186,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),534627,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",501965,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32662,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MD,Maryland,11/1/2018,Y,U,Y,7241,,114851,Includes Renewals and/or Redeterminations,122092,Includes Renewals and/or Redeterminations,30882,Includes Renewals and/or Redeterminations,4141,Includes Renewals and/or Redeterminations,35023,Includes Renewals and/or Redeterminations,617747,,1313879,,42.2373,-71.5314,"(42.2373, -71.5314)",1158172,,155707,
IL,Illinois,12/1/2018,Y,P,N,70718,,N/A,,70718,,25496,,8319,,33815,,1344507,,2829720,,44.2394,-114.5103,"(44.2394, -114.5103)",2580592,,249128,
CA,California,12/1/2018,Y,U,Y,220853,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,220853,,143749,Does Not Include All Medicaid Determinations Made At Application,12141,Does Not Include All CHIP Determinations Made At Application,155890,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4971516,,11927676,,33.7712,-111.3877,"(33.7712, -111.3877)",10625303,,1302373,
WA,Washington,6/1/2019,Y,P,N,63380,,64484,,127864,,91460,,1488,,92948,,828693,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1721540,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1653648,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),67892,
